# Simulation 4 (Up to date)
# 1048 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (25.6 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
36.516,1.031e4,-29.038,-7.038e-4
37.016,1.027e4,-29.041,6.645e-4
37.516,1.022e4,-29.038,0.002
38.016,1.017e4,-29.03,0.002
38.516,1.012e4,-29.018,0.003
39.016,1.008e4,-29.004,0.003
39.516,1.003e4,-28.988,0.003
40.016,9980.159,-28.971,0.004
40.516,9932.649,-28.953,0.004
41.016,9885.169,-28.935,0.004
41.516,9837.719,-28.916,0.004
42.016,9790.3,-28.897,0.004
42.516,9742.913,-28.877,0.004
43.016,9695.558,-28.858,0.004
43.516,9648.234,-28.839,0.004
44.016,9600.943,-28.819,0.004
44.516,9553.682,-28.8,0.004
45.016,9506.454,-28.781,0.004
45.516,9459.257,-28.762,0.004
46.016,9412.092,-28.742,0.004
46.516,9364.958,-28.723,0.004
47.016,9317.855,-28.704,0.004
47.516,9270.784,-28.685,0.004
48.016,9223.744,-28.666,0.004
48.516,9176.735,-28.647,0.004
49.016,9129.757,-28.628,0.004
49.516,9082.809,-28.61,0.004
50.016,9035.893,-28.591,0.004
50.516,8989.007,-28.572,0.004
51.016,8942.151,-28.554,0.004
51.516,8895.326,-28.535,0.004
52.016,8848.532,-28.517,0.004
52.516,8801.767,-28.499,0.004
53.016,8755.032,-28.48,0.004
53.516,8708.328,-28.462,0.004
54.016,8661.653,-28.444,0.004
54.516,8615.008,-28.426,0.004
55.016,8568.393,-28.408,0.004
55.516,8521.808,-28.39,0.004
56.016,8475.252,-28.371,0.004
56.516,8428.726,-28.353,0.004
57.016,8382.231,-28.334,0.004
57.516,8335.766,-28.316,0.004
58.016,8289.332,-28.297,0.004
58.516,8242.928,-28.278,0.004
59.016,8196.555,-28.26,0.004
59.516,8150.213,-28.241,0.004
60.016,8103.9,-28.223,0.004
60.516,8057.619,-28.204,0.004
61.016,8011.367,-28.186,0.004
61.516,7965.146,-28.167,0.004
62.016,7918.954,-28.149,0.004
62.516,7872.793,-28.131,0.004
63.016,7826.661,-28.113,0.004
63.516,7780.559,-28.095,0.004
64.016,7734.487,-28.077,0.004
64.516,7688.444,-28.059,0.004
65.016,7642.431,-28.041,0.004
65.516,7596.447,-28.023,0.004
66.016,7550.492,-28.005,0.004
66.516,7504.567,-27.987,0.004
67.016,7458.67,-27.97,0.004
67.516,7412.802,-27.952,0.004
68.016,7366.964,-27.935,0.004
68.516,7321.153,-27.917,0.004
69.016,7275.372,-27.9,0.004
69.516,7229.619,-27.882,0.004
70.016,7183.895,-27.865,0.004
70.516,7138.199,-27.848,0.004
71.016,7092.531,-27.831,0.003
71.516,7046.891,-27.813,0.003
72.016,7001.279,-27.796,0.003
72.516,6955.696,-27.779,0.003
73.016,6910.14,-27.762,0.003
73.516,6864.612,-27.745,0.004
74.016,6819.112,-27.728,0.004
