# Simulation 4 (Up to date)
# 1138 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
22.499,1.201e4,45.886,-1.031
22.549,1.201e4,45.38,-1.03
22.599,1.202e4,44.875,-1.029
22.649,1.203e4,44.371,-1.029
22.699,1.204e4,43.867,-1.028
22.749,1.204e4,43.363,-1.027
22.799,1.205e4,42.859,-1.027
22.849,1.206e4,42.356,-1.026
22.899,1.206e4,41.853,-1.025
22.949,1.207e4,41.351,-1.024
22.999,1.208e4,40.849,-1.024
23.049,1.208e4,40.347,-1.023
23.099,1.209e4,39.845,-1.022
23.149,1.21e4,39.344,-1.022
23.199,1.21e4,38.843,-1.021
23.249,1.211e4,38.343,-1.02
23.299,1.212e4,37.842,-1.02
23.349,1.212e4,37.343,-1.019
23.399,1.213e4,36.843,-1.019
23.449,1.213e4,36.344,-1.018
23.499,1.214e4,35.845,-1.017
23.549,1.215e4,35.346,-1.017
23.599,1.215e4,34.848,-1.016
23.649,1.216e4,34.35,-1.015
23.699,1.216e4,33.852,-1.015
23.749,1.217e4,33.355,-1.014
23.799,1.217e4,32.858,-1.013
23.849,1.218e4,32.361,-1.013
23.899,1.218e4,31.865,-1.012
23.949,1.219e4,31.368,-1.012
23.999,1.219e4,30.873,-1.011
24.049,1.22e4,30.377,-1.01
24.099,1.22e4,29.882,-1.01
24.149,1.221e4,29.387,-1.009
24.199,1.221e4,28.892,-1.008
24.249,1.222e4,28.398,-1.008
24.299,1.222e4,27.904,-1.007
24.349,1.223e4,27.41,-1.007
24.399,1.223e4,26.917,-1.006
24.449,1.224e4,26.424,-1.005
24.499,1.224e4,25.931,-1.005
24.549,1.225e4,25.438,-1.004
24.599,1.225e4,24.946,-1.003
24.649,1.225e4,24.454,-1.003
24.699,1.226e4,23.963,-1.002
24.749,1.226e4,23.471,-1.002
24.799,1.227e4,22.98,-1.001
24.849,1.227e4,22.49,-1
24.899,1.227e4,21.999,-1
24.949,1.228e4,21.509,-0.999
24.999,1.228e4,21.02,-0.999
25.049,1.228e4,20.53,-0.998
25.099,1.229e4,20.041,-0.997
25.149,1.229e4,19.552,-0.997
25.199,1.229e4,19.064,-0.996
25.249,1.23e4,18.576,-0.995
25.299,1.23e4,18.088,-0.995
25.349,1.23e4,17.6,-0.994
25.399,1.23e4,17.113,-0.993
25.449,1.231e4,16.626,-0.993
